Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704041235,750,GET,/api/store-events-producer-fn?count=6,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,37330.78080002451,37332.44952499808,37330.78080002451,37333.67229998112,369.75
1704041235,750,GET,/api/store-events-producer-fn?count=7,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,37337.69290003693,37338.34613333844,37337.69290003693,37339.51409999281,368.0
1704041235,750,GET,/api/store-events-producer-fn?count=8,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,37377.99430004088,37417.09702501248,37377.99430004088,37465.30460001668,371.75
1704041235,750,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,35,0,37124.53749997076,37309.34009714651,37124.53749997076,37465.30460001668,367.51428571428573
1704041246,850,GET,/api/store-events-producer-fn?count=1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,0,37130.10070001474,37247.61352857708,37130.10070001474,37337.719000002835,364.57142857142856
1704041246,850,GET,/api/store-events-producer-fn?count=2,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,37124.53749997076,37231.13921667876,37124.53749997076,37335.87220002664,366.6666666666667
1704041246,850,GET,/api/store-events-producer-fn?count=3,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,37333.46610004082,37336.87256000703,37333.46610004082,37339.96860001935,365.2
1704041246,850,GET,/api/store-events-producer-fn?count=4,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,37331.78820001194,37333.34272498905,37331.78820001194,37335.34539997345,366.5
1704041246,850,GET,/api/store-events-producer-fn?count=5,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,110667.36139997374,81334.25643999362,37337.27209997596,110667.36139997374,368.8
1704041246,850,GET,/api/store-events-producer-fn?count=6,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,37330.78080002451,37332.44952499808,37330.78080002451,37333.67229998112,369.75
1704041246,850,GET,/api/store-events-producer-fn?count=7,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,37337.69290003693,37338.34613333844,37337.69290003693,37339.51409999281,368.0
1704041246,850,GET,/api/store-events-producer-fn?count=8,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,37377.99430004088,52067.14996000519,37377.99430004088,110667.36169997603,372.4
1704041246,850,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,39,0,37124.53749997076,44833.07005641295,37124.53749997076,110667.36169997603,367.5128205128205
1704041247,950,GET,/api/store-events-producer-fn?count=1,0.000000,0.000000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,22,0,73000.0,74404.20697272797,37130.10070001474,98595.65589996055,364.0
1704041247,950,GET,/api/store-events-producer-fn?count=10,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,18,0,99000.0,97831.9023111156,73203.24890001211,110819.56590001937,371.6111111111111
