Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/store-events-producer-fn?count=1,79775,73477,5700.0,6583.479093035875,1.01571100003639,196903.45878300013,29.85974302726418,51.92365206977732,47.82443350838017,5700,8600,9700,10000,12000,13000,17000,42000,66000,78000,197000
GET,/api/store-events-producer-fn?count=10,79661,73463,6800.0,8734.518644500238,1.015312999697926,128438.8435840001,29.87056401501362,51.84945217838334,47.815321241015994,6800,9400,10000,11000,14000,32000,38000,53000,88000,99000,128000
GET,/api/store-events-producer-fn?count=2,79820,73275,6600.0,6803.959920119579,1.0104190005222335,91714.41864000008,30.992783763467802,51.952941500590725,47.69295650783996,6600,8700,9800,10000,12000,13000,18000,42000,67000,79000,92000
GET,/api/store-events-producer-fn?count=3,79414,73005,6900.0,7063.976632295152,1.0111120000146911,197030.58956099994,30.548694184904424,51.688685747029716,47.517219922959484,6900,9400,10000,11000,12000,13000,20000,44000,68000,78000,197000
GET,/api/store-events-producer-fn?count=4,79566,73338,6900.0,7238.346561881349,1.0159120001844713,102643.35635799944,29.711811577809616,51.787618935555024,47.73396171097874,6900,9500,10000,11000,13000,14000,22000,43000,69000,84000,103000
GET,/api/store-events-producer-fn?count=5,79632,73263,6900.0,7563.236880059154,1.0153120001632487,196891.50002800033,30.407361362266425,51.8305767674147,47.685145992956386,6900,9500,11000,11000,14000,17000,26000,48000,73000,87000,197000
GET,/api/store-events-producer-fn?count=6,79489,73271,6900.0,7760.445077877546,1.0115109998878324,198510.2186949998,29.75758910037867,51.73750146505207,47.690353002878766,6900,9500,10000,11000,14000,20000,27000,48000,76000,90000,199000
GET,/api/store-events-producer-fn?count=7,79778,73570,6900.0,8012.155018713017,1.0159120001844713,199562.91220599995,29.623404948732734,51.92560469849821,47.88496499872789,6900,9500,10000,11000,14000,23000,30000,49000,79000,98000,200000
GET,/api/store-events-producer-fn?count=8,79709,73544,6900.0,8233.871450063072,1.0150190000786097,196990.87325899926,29.443638735901843,51.880694237917645,47.868042216480134,6900,9500,10000,11000,14000,26000,32000,50000,81000,97000,197000
GET,/api/store-events-producer-fn?count=9,79563,73357,6900.0,8466.892040363791,1.0170120003749616,199136.20158600042,29.72245893191559,51.78566630683413,47.7463283595444,6900,9500,10000,11000,14000,29000,35000,51000,84000,97000,199000
,Aggregated,796407,733563,6700.0,7645.963596455064,1.0104190005222335,199562.91220599995,29.993828532396122,518.3623939070529,477.45872746176195,6700,9300,10000,11000,13000,20000,32000,49000,75000,94000,200000
